,course_ID,course_name,semester,teacher,department,course_ID2
0,01001,大學國文：文學鑑賞與寫作（一）,112-1,高嘉謙,0000,CHIN8012
1,01002,大學國文：文學鑑賞與寫作（一）,112-1,李文鈺,0000,CHIN8012
2,01003,大學國文：文學鑑賞與寫作（一）,112-1,潘少瑜,0000,CHIN8012
3,01004,大學國文：文學鑑賞與寫作（一）,112-1,王士銓,0000,CHIN8012
4,01005,大學國文：文學鑑賞與寫作（一）,112-1,康韻梅,0000,CHIN8012
5,01006,大學國文：文學鑑賞與寫作（一）,112-1,吳旻旻,0000,CHIN8012
6,01007,大學國文：文學鑑賞與寫作（一）,112-1,陳雀倩,0000,CHIN8012
7,01008,大學國文：文學鑑賞與寫作（一）,112-1,葉常泓,0000,CHIN8012
8,01009,大學國文：文學鑑賞與寫作（一）,112-1,陳昭瑛,0000,CHIN8012
9,01010,大學國文：文學鑑賞與寫作（一）,112-1,佘筠珺,0000,CHIN8012
10,01011,大學國文：文學鑑賞與寫作（一）,112-1,洪淑苓,0000,CHIN8012
11,01012,大學國文：文學鑑賞與寫作（一）,112-1,張麗麗,0000,CHIN8012
12,01013,大學國文：文學鑑賞與寫作（一）,112-1,蔡祝青,0000,CHIN8012
13,01014,大學國文：文學鑑賞與寫作（一）,112-1,沈凡玉,0000,CHIN8012
14,01015,大學國文：文學鑑賞與寫作（一）,112-1,吳潔盈,0000,CHIN8012
15,01016,大學國文：文學鑑賞與寫作（一）,112-1,潘少瑜,0000,CHIN8012
16,01017,大學國文：文學鑑賞與寫作（一）,112-1,沈凡玉,0000,CHIN8012
17,01080,大學國文：文學鑑賞與寫作（一）,112-1,劉建志,4060,CHIN8012
18,01018,大學國文：文學鑑賞與寫作（一）,112-1,高嘉謙,0000,CHIN8012
19,01019,大學國文：文學鑑賞與寫作（一）,112-1,歐麗娟,0000,CHIN8012
20,01021,大學國文：文學鑑賞與寫作（一）,112-1,徐富昌,0000,CHIN8012
21,01022,大學國文：文學鑑賞與寫作（一）,112-1,王士銓,0000,CHIN8012
22,01023,大學國文：文學鑑賞與寫作（一）,112-1,蔡璧名,0000,CHIN8012
23,01024,大學國文：文學鑑賞與寫作（一）,112-1,謝佩芬,0000,CHIN8012
24,01025,大學國文：文學鑑賞與寫作（一）,112-1,曹淑娟,0000,CHIN8012
25,01026,大學國文：文學鑑賞與寫作（一）,112-1,蔡佩含,0000,CHIN8012
26,01027,大學國文：文學鑑賞與寫作（一）,112-1,佘筠珺,0000,CHIN8012
27,01028,大學國文：文學鑑賞與寫作（一）,112-1,楊芳燕,0000,CHIN8012
28,01029,大學國文：文學鑑賞與寫作（一）,112-1,蕭旭府,0000,CHIN8012
29,01030,大學國文：文學鑑賞與寫作（一）,112-1,張斯翔,0000,CHIN8012
30,01031,大學國文：文化思想與寫作（一）,112-1,曹美秀,0000,CHIN8014
31,01032,大學國文：文化思想與寫作（一）,112-1,彭美玲,0000,CHIN8014
32,01033,大學國文：文化思想與寫作（一）,112-1,趙飛鵬,0000,CHIN8014
33,01034,大學國文：文化思想與寫作（一）,112-1,史甄陶,0000,CHIN8014
34,01035,大學國文：文化思想與寫作（一）,112-1,姜義泰,0000,CHIN8014
35,01036,大學國文：文化思想與寫作（一）,112-1,巫雪如,0000,CHIN8014
36,01037,大學國文：文化思想與寫作（一）,112-1,林永勝,0000,CHIN8014
37,01038,大學國文：文化思想與寫作（一）,112-1,梁偉賢,0000,CHIN8014
38,01039,大學國文：文化思想與寫作（一）,112-1,羅鈴沛,0000,CHIN8014
39,01040,大學國文：文化思想與寫作（一）,112-1,劉文清,0000,CHIN8014
40,01041,大學國文：文化思想與寫作（一）,112-1,劉建志,0000,CHIN8014
41,01042,大學國文：文化思想與寫作（一）,112-1,史甄陶,0000,CHIN8014
42,01043,大學國文：文化思想與寫作（一）,112-1,侯潔之,0000,CHIN8014
43,01044,大學國文：文化思想與寫作（一）,112-1,梁偉賢,0000,CHIN8014
44,01045,大學國文：閱讀與寫作（一）,112-1,李馥名,0000,CHIN8016
45,01046,大學國文：閱讀與寫作（一）,112-1,許育嘉,0000,CHIN8016
46,01047,大學國文：閱讀與寫作（一）,112-1,蔡志彥,0000,CHIN8016
47,01048,大學國文：閱讀與寫作（一）,112-1,吳曉昀,0000,CHIN8016
48,01049,大學國文：閱讀與寫作（一）,112-1,沈芳如,0000,CHIN8016
49,01050,大學國文：閱讀與寫作（一）,112-1,羅聖堡,0000,CHIN8016
50,01051,大學國文：閱讀與寫作（一）,112-1,黃啟書,0000,CHIN8016
51,01052,大學國文：閱讀與寫作（一）,112-1,簡凱廷,0000,CHIN8016
52,01053,大學國文：閱讀與寫作（一）,112-1,劉柏正,0000,CHIN8016
53,01054,大學國文：閱讀與寫作（一）,112-1,賴昶亘,0000,CHIN8016
54,01055,大學國文：閱讀與寫作（一）,112-1,楊晉綺,0000,CHIN8016
55,01056,大學國文：閱讀與寫作（一）,112-1,方韻慈,0000,CHIN8016
56,01057,大學國文：閱讀與寫作（一）,112-1,簡凱廷,0000,CHIN8016
57,01058,大學國文：閱讀與寫作（一）,112-1,羅聖堡,0000,CHIN8016
58,01059,大學國文：閱讀與寫作（一）,112-1,魏千鈞,0000,CHIN8016
59,01060,大學國文：閱讀與寫作（一）,112-1,林貝珊,0000,CHIN8016
60,01077,大學國文：先秦兩漢文選上,112-1,丁  亮,1010,CHIN1083
61,01078,大學國文：先秦兩漢文選上,112-1,張素卿,1010,CHIN1083
62,01079,大學國文：文言文導讀上,112-1,張宇衛,1011,CHIN1085
63,01061,大學國文：進階語文上,112-1,尹子玉,0000,CHIN8018
64,01062,大學國文：進階語文上,112-1,方韻慈,0000,CHIN8018
65,01063,大學國文：進階語文上,112-1,葉叡宸,0000,CHIN8018
66,01064,大學國文：進階語文上,112-1,黃文儀,0000,CHIN8018
67,01065,大學國文：進階語文上,112-1,葉叡宸,0000,CHIN8018
68,01066,大學國文：進階語文上,112-1,陳建男,0000,CHIN8018
69,01067,大學國文：中階語文上,112-1,狄君宏,0000,CHIN8020
70,01068,大學國文：中階語文上,112-1,陳建男,0000,CHIN8020
71,01069,大學國文：中階語文上,112-1,林貝珊,0000,CHIN8020
72,01070,大學國文：中階語文上,112-1,狄君宏,0000,CHIN8020
73,01071,大學國文：初階語文上,112-1,李天祥,0000,CHIN8022
74,01072,大學國文：初階語文上,112-1,魏千鈞,0000,CHIN8022
75,01073,大學國文：初階語文上,112-1,林貝珊,0000,CHIN8022
76,01076,大學國文：初階語文上,112-1,蔡佩含,0000,CHIN8022
77,02001,日文上,112-1,孫愛維,1000,JpnL1001
78,02002,日文上,112-1,江佩璇,2000,JpnL1001
79,02003,日文上,112-1,洪瑟君,3000,JpnL1001
80,02007,日文上,112-1,黃意婷,7000,JpnL1001
81,02007,日文上,112-1,黃意婷,B000,JpnL1001
82,02004,日文上,112-1,陳昭心,5000,JpnL1001
83,02004,日文上,112-1,陳昭心,9000,JpnL1001
84,02004,日文上,112-1,陳昭心,A000,JpnL1001
85,02005,日文上,112-1,黃佳鈴,9000,JpnL1001
86,02005,日文上,112-1,黃佳鈴,A000,JpnL1001
87,02005,日文上,112-1,黃佳鈴,5000,JpnL1001
88,02006,日文上,112-1,吳勤文,6000,JpnL1001
89,02008,日文上,112-1,許惠晴,B000,JpnL1001
90,02008,日文上,112-1,許惠晴,7000,JpnL1001
91,03011,英文一,112-1,周昱翔,8000,FL1003
92,03011,英文一,112-1,周昱翔,4000,FL1003
93,03011,英文一,112-1,周昱翔,2000,FL1003
94,03023,英文一,112-1,王寶祥,4000,FL1003
95,03024,英文一,112-1,鄭暐凡,4000,FL1003
96,03005,英文一,112-1,鄺慧琪,1000,FL1003
97,03042,英文一,112-1,劉威辰,H040,FL1003
98,03042,英文一,112-1,劉威辰,5070,FL1003
99,03044,英文一,112-1,劉威辰,9000,FL1003
100,03044,英文一,112-1,劉威辰,6000,FL1003
101,03045,英文一,112-1,林婉瑜,6000,FL1003
102,03045,英文一,112-1,林婉瑜,9000,FL1003
103,03052,英文一,112-1,楊明蒼,7000,FL1003
104,03052,英文一,112-1,楊明蒼,B000,FL1003
105,03053,英文一,112-1,鄭暐凡,B000,FL1003
106,03053,英文一,112-1,鄭暐凡,7000,FL1003
107,03054,英文一,112-1,李鴻瓊,7000,FL1003
108,03054,英文一,112-1,李鴻瓊,B000,FL1003
109,03030,英文一,112-1,傅友祥,A000,FL1003
110,03030,英文一,112-1,傅友祥,9000,FL1003
111,03030,英文一,112-1,傅友祥,5000,FL1003
112,03031,英文一,112-1,劉亮雅,5000,FL1003
113,03031,英文一,112-1,劉亮雅,9000,FL1003
114,03031,英文一,112-1,劉亮雅,A000,FL1003
115,03032,英文一,112-1,朱偉誠,A000,FL1003
116,03032,英文一,112-1,朱偉誠,9000,FL1003
117,03032,英文一,112-1,朱偉誠,5000,FL1003
118,03033,英文一,112-1,李鴻瓊,5000,FL1003
119,03033,英文一,112-1,李鴻瓊,9000,FL1003
120,03033,英文一,112-1,李鴻瓊,A000,FL1003
121,03034,英文一,112-1,柏逸嘉,A000,FL1003
122,03034,英文一,112-1,柏逸嘉,9000,FL1003
123,03034,英文一,112-1,柏逸嘉,5000,FL1003
